id,commit,build,exec_time,comment,fix,lastFix
0,9a62b06,SUCCESS,25,Fix NPE in Partial.with(),{'lastFix': None},
1,8612f9e,SUCCESS,23,Fix NPE in Partial.with(),{'lastFix': None},
2,8d109fe,SUCCESS,23,Adding zero no longer changes the offset during DST overlap,{'lastFix': None},
3,3ba9ba7,SUCCESS,22,"Prevent creation of invalid partials via Partial.with(DateTimeFieldType,int)",{'lastFix': None},
4,bcb0446,SUCCESS,23,Fix NPE in DateTimeUtils.isContiguous with weird partials [#89],{'lastFix': None},
5,81a8184,SUCCESS,24,DurationField is incorrect in complex DateTimeField instances,{'lastFix': None},
6,a61b3ff,SUCCESS,23,Simplify tests,{'lastFix': None},
7,e72c41c,SUCCESS,23,Fixup pull request,{'lastFix': None},
8,19c4b7b,SUCCESS,24,Merge pull request #85 from haguenau/master,{'lastFix': None},
9,ade422e,SUCCESS,23,Spelling.,{'lastFix': None},
10,8818988,SUCCESS,23,Spelling.,{'lastFix': None},
11,3755205,SUCCESS,23,Spelling.,{'lastFix': None},
12,2d9d9cd,SUCCESS,22,Fixup pull request for fraction of second,{'lastFix': None},
13,05a0afd,SUCCESS,23,Merge pull request #84 from petedmarsh/add-millis-description,{'lastFix': None},
14,8f79f89,SUCCESS,23,Add a seperate description for fraction of second presentation,{'lastFix': None},
15,e02af2c,SUCCESS,23,Better Javadoc for DateTimeFormatter parsing,{'lastFix': None},
16,a6cb59e,SUCCESS,22,Fix handling of PeriodType when either years or months missing,{'lastFix': None},
17,a38b5e0,SUCCESS,22,Add generics,{'lastFix': None},
18,f248cec,SUCCESS,23,Fix IANA time zone database links,{'lastFix': None},
19,ef64bce,SUCCESS,23,Merge pull request #82 from ming13/readme-syntax-highlighting,{'lastFix': None},
20,0a47ac1,SUCCESS,23,Use syntax highlighting in the readme file.,{'lastFix': None},
21,4e2042f,SUCCESS,22,Better Javadoc for DateTimeComparator,{'lastFix': None},
22,7889dd1,SUCCESS,23,Ignore time-zone data,{'lastFix': None},
23,b4e3570,SUCCESS,23,Record pull request contribution,{'lastFix': None},
24,f126698,SUCCESS,23,Merge pull request #71 from seva-ask/fixForSerializationException,{'lastFix': None},
25,06867a4,SUCCESS,23,Add Duration multipliedBy/dividedBy/negated,{'lastFix': None},
26,a8e6010,SUCCESS,23,Merge branch 'master' of https://github.com/bjoernpollex/joda-time into bjoernpollex-master,{'lastFix': None},
27,f6f98b7,SUCCESS,23,Remove unnecessary volatile on LocalDate has code instance variable,{'lastFix': None},
28,6ac6c0b,SUCCESS,23,Enhance thread-safety documentation,{'lastFix': None},
29,d0346a8,SUCCESS,22,Enhance formatting documentation,{'lastFix': None},
30,57e5172,SUCCESS,23,added documentation for all newly introduced methods,{'lastFix': None},
31,bd39d51,SUCCESS,23,added tests and implementation of `Duration.negated()`,{'lastFix': None},
32,6d8d6e6,SUCCESS,22,* added tests and implementation for `Duration.dividedBy(long divisor)` * added tests and implementation for `FieldUtils.safeDivide` * renamed multiplication tests to match method name * renamed parameter name of `Duration.multipliedBy` to match Java 8 API,{'lastFix': None},
33,6fbb9bc,SUCCESS,24,Added tests and implementation for `Duration.multipliedBy(long factor)`,{'lastFix': None},
34,fba9e5e,SUCCESS,22,caches should not be serialized,{'lastFix': None},
35,229c7d0,SUCCESS,23,Enhance home page link to release notes,{'lastFix': None},
36,970139e,SUCCESS,23,Fix README reference to change notes,{'lastFix': None},
37,13d3ea1,SUCCESS,23,Use ISO8601 for consistency with rest of Joda-Time,{'lastFix': None},
38,c23a46b,SUCCESS,23,Better description of ISO printing/parsing,{'lastFix': None},
39,55876b9,SUCCESS,23,Remove uncaughtException calls,{'lastFix': None},
40,878d057,SUCCESS,23,Enhance Javadoc wrt parsing of format patterns,{'lastFix': None},
41,cd16185,SUCCESS,23,Merge pull request #53 from RenniePet/Fix-FAQ,{'lastFix': None},
42,f6a98ad,SUCCESS,23,Minor tidy,{'lastFix': None},
43,2e3dd44,SUCCESS,23,"One too many ""are""s in the heading.",{'lastFix': None},
44,aef185e,SUCCESS,23,Bump version,{'lastFix': None},
45,b0fcbb9,SUCCESS,23,Release v2.3,{'lastFix': None},
46,bbb38a0,SUCCESS,23,Add additional clirr config,{'lastFix': None},
47,9732f2a,SUCCESS,23,Update website and docs,{'lastFix': None},
48,eb4965a,SUCCESS,22,Use GitHub pages for home page,{'lastFix': None},
49,4ff0dad,SUCCESS,23,Move to using m2e Maven Eclipse plugin,{'lastFix': None},
50,223e863,SUCCESS,23,Add proper GitHub README,{'lastFix': None},
51,a6d5c6b,SUCCESS,23,Remove basic code warnings,{'lastFix': None},
52,f268b52,SUCCESS,23,Move to using m2e Maven Eclipse plugin,{'lastFix': None},
53,28aeba9,SUCCESS,27,Fix GJChronology.plus/minus across cutover and year zero,{'lastFix': None},
54,91b1ba4,SUCCESS,25,Better thread-safety in ISODateTimeFormat,{'lastFix': None},
